Source : France Travail - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à France Travail par Commune de plus de 5000 hab. - France entière - Janvier 2025 - Données brutes
https://statistiques.francetravail.org/stmt/defm?nk=0&pp=las&ss=1
Commune de plus de 5000 hab.;Nombre de demandeurs d'emploi
Corbie 80800;  550
Cormeilles-en-Parisis 95240; 2 280
Cormelles-le-Royal 14123;  480
Cormontreuil 51350;  450
Cornebarrieu 31700; 1 070
Corte 20250;  440
Cosne-Cours-sur-Loire 58200; 1 080
Coublevie 38500;  350
Coubron 93470;  390
Coudekerque-Branche 59210; 2 330
Couëron 44220; 1 930
Coulaines 72190; 1 130
Coulogne 62137;  520
Coulommiers 77120; 1 840
Coulounieix-Chamiers 24660;  980
Courbevoie 92400; 7 210
Courcelles-lès-Lens 62970;  960
Courdimanche 95800;  670
Cournon-d'Auvergne 63800; 1 660
Cournonterral 34660;  890
Courrières 62710; 1 150
Coursan 11110;  850
Courthézon 84350;  720
Courtry 77181;  550
Coutances 50200; 1 030
Coutras 33230; 1 120
Couzeix 87270;  810
Cranves-Sales 74380;  590
Craponne 69290;  980
Crégy-lès-Meaux 77124;  510
Creil 60100; 5 280
Crépy-en-Valois 60800; 1 350
Crest 26400; 1 510
Créteil 94000; 10 940
Creutzwald 57150; 1 640
Croissy-sur-Seine 78290;  780
Croix 59170; 2 380
Crolles 38190;  580
Crosne 91560;  740
Crozon 29160;  780
Cruseilles 74350;  430
Cucq 62780;  400
Cuers 83390; 1 130
Cuges-les-Pins 13780;  650
Cugnaux 31270; 2 570
Cuincy 59553;  720
Cusset 03300; 1 540
Dainville 62000;  350
Dammarie-les-Lys 77190; 3 610
Dammartin-en-Goële 77230; 1 010
Dardilly 69570;  670
Darnétal 76160; 1 490
Dax 40100; 3 620
Decazeville 12300;  680
Dechy 59187;  800
Décines-Charpieu 69150; 3 290
Decize 58300;  510
Delle 90100;  840
Denain 59220; 4 590
Déols 36130;  770
Desvres 62240;  570
Deuil-la-Barre 95170; 2 410
Déville-lès-Rouen 76250; 1 660
Die 26150;  800
Dieppe 76200; 4 440
Digne-les-Bains 04000; 2 180
Digoin 71160;  940
Dijon 21000; 18 180
Dinan 22100; 1 780
Dinard 35800;  970
Dives-sur-Mer 14160;  580
Divion 62460;  970
Divonne-les-Bains 01220;  830
Dol-de-Bretagne 35120;  620
Dole 39100; 2 700
Dombasle-sur-Meurthe 54110;  820
Domène 38420;  510
Domérat 03410;  860
Domont 95330; 1 470
Dompierre-sur-Mer 17139;  540
Donges 44480;  770
Donzère 26290;  730
Douai 59500; 7 200
Douarnenez 29100; 2 050
Douchy-les-Mines 59282; 1 740
Doué-la-Fontaine 49700; 1 180
Doullens 80600;  820
Dourdan 91410;  970
Dourges 62119;  690
Douvaine 74140;  630
Douvres-la-Délivrande 14440;  410
Douvrin 62138;  590
Draguignan 83300; 4 840
Drancy 93700; 9 880
Drap 06340;  520
Draveil 91210; 2 460
Dreux 28100; 5 410
Drusenheim 67410;  380
Ducos 97224; 2 420
Dugny 93440; 1 640
Dunkerque 59140; 12 010
Eaubonne 95600; 2 190
Eaunes 31600;  740
Échirolles 38130; 4 340
Eckbolsheim 67201;  610
Écouen 95440;  690
Écully 69130; 1 470
Égletons 19300;  350
Égly 91520;  620
Éguilles 13510;  680
Élancourt 78990; 2 300
Elbeuf 76500; 3 380
Elne 66200; 1 750
Elven 56250;  550
Embrun 05200;  830
Émerainville 77184;  640
Enghien-les-Bains 95880;  990
Ensisheim 68190;  660
Ensuès-la-Redonne 13820;  430
Entraigues-sur-la-Sorgue 84320;  910
Entre-Deux 97414; 1 620
Entrelacs 73410;  400
Epagny Metz-Tessy 74330;  710
Épernay 51200; 2 870
Épernon 28230;  570
Épinal 88000; 4 560
Épinay-sous-Sénart 91860; 1 440
Épinay-sur-Orge 91360;  800
Épinay-sur-Seine 93800; 7 330
Épône 78680;  720
Éragny 95610; 1 830
Erdre-en-Anjou 49220;  420
Ergué-Gabéric 29500;  610
Ermont 95120; 2 920
Ernée 53500;  410
Erquinghem-Lys 59193;  410
Erstein 67150; 1 010
Esbly 77450;  470
Escalquens 31750;  640
Escaudain 59124; 1 480
Eschau 67114;  400
Essey-lès-Nancy 54270;  950
Estaires 59940;  630
Esvres 37320;  400
Étampes 91150; 3 070
Étaples 62630; 1 170
Étoile-sur-Rhône 26800;  490
Étréchy 91580;  430
Eu 76260;  720
Évian-les-Bains 74500; 1 240
Évreux 27000; 7 760
Évron 53600;  610
Évry 91000; 9 140
Eybens 38320; 1 020
Eyguières 13430;  750
Eysines 33320; 2 700
Ézanville 95460;  880
Fabrègues 34690;  840
Faches-Thumesnil 59155; 2 420
Falaise 14700; 1 020
Fameck 57290; 1 690
Farébersviller 57450;  800
Faulquemont 57380;  560
Faverges 74210;  750
Fayence 83440;  590
Fécamp 76400; 2 350
Fegersheim 67640;  410
Feignies 59750;  940
Fenain 59179;  640
Fenouillet 31150;  710
Ferney-Voltaire 01210; 1 110
Ferrière-la-Grande 59680;  750
Feurs 42110;  710
Feytiat 87220;  470
Feyzin 69320; 1 400
Figeac 46100; 1 090
Fillière 74570;  640
Firminy 42700; 2 410
Fismes 51170;  620
Flers 61100; 2 250
Flers-en-Escrebieux 59128;  790
Fleurance 32500;  680
Fleury-les-Aubrais 45400; 2 770
Fleury-Mérogis 91700; 1 060
Fleury-sur-Orne 14123;  820
Flines-lez-Raches 59148;  500
Floirac 33270; 2 540
Florange 57190; 1 260
Florensac 34510;  710
Foix 09000; 1 470
Fondettes 37230;  740
Fonsorbes 31470; 1 160
Fontaine 38600; 2 610
Fontainebleau 77300; 1 280
Fontaine-lès-Dijon 21121;  650
Fontaines-sur-Saône 69270;  690
Fontenay-aux-Roses 92260; 2 000
Fontenay-le-Comte 85200; 1 480
Fontenay-le-Fleury 78330; 1 240
Fontenay-sous-Bois 94120; 5 910
Fontenay-Trésigny 77610;  470
Fontenilles 31470;  400
Forbach 57600; 3 430
Forcalquier 04300;  690
Fort-de-France 97200; 14 360
Fosses 95470; 1 040
Fos-sur-Mer 13270; 1 630
Fouesnant 29170;  750
Fougères 35300; 2 620
Foulayronnes 47510;  440
Fouquières-lès-Lens 62740;  720
Fourmies 59610; 2 120
Francheville 69340; 1 180
Franconville 95130; 3 770
Franqueville-Saint-Pierre 76520;  420
Fréjus 83600; 7 670
Fresnes 94260; 2 780
Fresnes-sur-Escaut 59970; 1 150
Freyming-Merlebach 57800; 1 820
Frontignan 34110; 3 030
Fronton 31620;  600
Frouard 54390;  780
Frouzins 31270;  910
Fumel 47500;  630
Furiani 20600;  430
Fuveau 13710;  840
Gagny 93220; 4 750
Gaillac 81600; 2 130
Gaillard 74240; 1 610
Gaillon 27600; 1 050
Gambsheim 67760;  330
Gan 64290;  420
Gannat 03800;  660
Gap 05000; 4 370
Garches 92380; 1 320
Gardanne 13120; 2 550
Garéoult 83136;  490
Gargenville 78440;  820
Garges-lès-Gonesse 95140; 5 410
Garons 30128;  620
Gauchy 02430;  670
Geispolsheim 67400;  580
Gémenos 13420;  530
Genas 69740;  790
Genay 69730;  450
Genlis 21110;  500
Gennes-Val-de-Loire 49350;  870
Gennevilliers 92230; 6 730
Gentilly 94250; 2 260
Gérardmer 88400;  750
Gerzat 63360; 1 120
Gévezé 35850;  480
Gex 01170; 1 430
Gien 45500; 1 890
Gières 38610;  540
Gif-sur-Yvette 91190; 1 180
Gigean 34770;  760
Gignac 34150;  810
Gignac-la-Nerthe 13180; 1 070
Gisors 27140; 1 480
Givet 08600;  860
Givors 69700; 3 280
Gleizé 69400;  770
Golbey 88190; 1 100
Gond-Pontouvre 16160;  720
Gonesse 95500; 3 720
